Model,Nodes,Speed,Pause,PDR,Throughput,Delay,Loss,Overhead
rwp,10,5,0,49.6096,156.995,1.10367,50.3904,0.0183179
rwp,10,5,10,61.2057,160.849,0.0962208,38.7943,0.0290673
rwp,10,5,20,89.4919,199.491,0.257097,10.5081,0.0248856
rwp,10,5,30,99.936,207.699,0.00855711,0.0639959,0.00281762
rwp,10,5,40,59.0042,210.788,0.0345323,40.9958,0.0145336
rwp,10,10,0,99.68,209.543,0.0137555,0.31998,0.00128403
rwp,10,10,10,76.4879,209.986,0.0270996,23.5121,0.00635877
rwp,10,10,20,52.6942,118.789,0.714299,47.3058,0.0750547
rwp,10,10,30,33.841,92.9283,0.263201,66.159,0.0476551
rwp,10,10,40,18.8916,80.0789,0.0856019,81.1084,0.0738482
rwp,10,15,0,90.9638,189.059,0.0240006,9.03622,0.00633179
rwp,10,15,10,91.1686,189.494,0.0473269,8.83143,0.00673873
rwp,10,15,20,94.8931,197.259,0.31397,5.10687,0.0121392
rwp,10,15,30,44.8995,175.797,0.0546955,55.1005,0.0644242
rwp,10,15,40,6.13081,208.391,0.00580905,93.8692,0.338205
rwp,10,20,0,95.8403,206.21,0.0977414,4.15973,0.0148237
rwp,10,20,10,95.9939,206.537,0.0299232,4.00614,0.00826667
rwp,10,20,20,25.432,54.4996,0.160534,74.568,0.0669351
rwp,10,20,30,47.3954,98.5212,0.353032,52.6046,0.0850662
rwp,10,20,40,19.8003,54.3585,0.495633,80.1997,0.188106
rwp,20,5,0,100,207.876,0.0179513,0,0.0015359
rwp,20,5,10,94.8803,197.265,0.235394,5.11967,0.025226
rwp,20,5,20,99.8976,207.653,0.0142218,0.102393,0.00679052
rwp,20,5,30,72.6609,199.519,0.413696,27.3391,0.0649991
rwp,20,5,40,64.2263,138.23,0.531956,35.7737,0.124751
rwp,20,10,0,99.9872,207.848,0.0073725,0.0127992,0.00217614
rwp,20,10,10,83.3739,173.327,0.685329,16.6261,0.054805
rwp,20,10,20,99.9488,207.759,0.00717319,0.0511967,0.00768344
rwp,20,10,30,63.7527,130.588,1.77642,36.2473,0.100181
rwp,20,10,40,94.6883,196.35,0.198886,5.31166,0.0404163
rwp,20,15,0,100,207.848,0.00579853,0,0.00243184
rwp,20,15,10,83.7578,174.188,0.719748,16.2422,0.0843521
rwp,20,15,20,99.9488,207.754,0.00737946,0.0511967,0.00640287
rwp,20,15,30,99.7952,207.424,0.00716762,0.204787,0.0109016
rwp,20,15,40,67.6053,140.533,0.105371,32.3947,0.045248
rwp,20,20,0,99.8336,207.52,0.0111756,0.166389,0.0133333
rwp,20,20,10,80.5452,167.506,0.438845,19.4548,0.0910536
rwp,20,20,20,69.0132,142.4,0.305271,30.9868,0.178969
rwp,20,20,30,83.8858,168.564,0.382926,16.1142,0.0656088
rwp,20,20,40,85.6521,178.092,0.0636573,14.3479,0.0395995
rwp,30,5,0,70.3315,174.761,1.6598,29.6685,0.0229299
rwp,30,5,10,100,207.852,0.00579933,0,0.00383975
rwp,30,5,20,90.9894,189.198,0.272345,9.01062,0.0876354
rwp,30,5,30,99.2576,206.393,0.120493,0.742352,0.020374
rwp,30,5,40,91.6677,190.524,0.0510353,8.33227,0.0448199
rwp,30,10,0,95.8019,199.2,0.113041,4.19813,0.0629259
rwp,30,10,10,96.9026,202.836,0.0936689,3.0974,0.062079
rwp,30,10,20,97.8753,203.425,0.081434,2.12466,0.0375311
rwp,30,10,30,86.7145,182.393,0.555467,13.2855,0.0572694
rwp,30,10,40,97.3122,202.076,0.092093,2.68783,0.0695778
rwp,30,15,0,100,207.851,0.00580086,0,0.00383975
rwp,30,15,10,86.1001,178.435,0.177768,13.8999,0.0732868
rwp,30,15,20,99.1809,206.174,0.018118,0.819148,0.0620725
rwp,30,15,30,75.4,155.972,0.245353,24.6,0.232049
rwp,30,15,40,87.6104,182.14,0.0627853,12.3896,0.0964207
rwp,30,20,0,96.0835,202.126,0.0633932,3.91655,0.0295724
rwp,30,20,10,97.9905,203.731,0.0256558,2.00947,0.0834639
rwp,30,20,20,97.9521,199.703,0.0737796,2.04787,0.0363256
rwp,30,20,30,95.2899,198.095,0.0817547,4.7101,0.107589
rwp,30,20,40,72.1874,148.638,0.524166,27.8126,0.308688
rwp,40,5,0,66.7605,136.688,1.73801,33.2395,0.169862
rwp,40,5,10,72.6354,199.509,0.27482,27.3646,0.0711894
rwp,40,5,20,67.0549,140.404,0.457256,32.9451,0.344913
rwp,40,5,30,96.4162,200.499,0.0993052,3.58377,0.0475242
rwp,40,5,40,88.9799,185.022,0.423373,11.0201,0.0440161
rwp,40,10,0,100,207.915,0.017996,0,0.00511967
rwp,40,10,10,75.5664,155.763,1.69687,24.4336,0.219343
rwp,40,10,20,99.744,207.356,0.0187284,0.255984,0.0596689
rwp,40,10,30,99.8592,207.552,0.0119113,0.140791,0.0501154
rwp,40,10,40,88.8391,186.853,0.244054,11.1609,0.200259
rwp,40,15,0,98.1825,206.455,0.034502,1.81748,0.0565767
rwp,40,15,10,82.5931,171.661,0.135934,17.4069,0.128467
rwp,40,15,20,92.6533,192.677,0.252858,7.34673,0.19685
rwp,40,15,30,89.8886,186.892,0.0355253,10.1114,0.145379
rwp,40,15,40,87.5592,182.044,0.342344,12.4408,0.18813
rwp,40,20,0,99.9232,207.684,0.01057,0.0767951,0.0188293
rwp,40,20,10,97.005,201.617,0.0643942,2.99501,0.115055
rwp,40,20,20,83.5531,173.739,0.437495,16.4469,0.294424
rwp,40,20,30,83.5403,173.739,0.192649,16.4597,0.130688
rwp,40,20,40,59.5546,122.781,0.510918,40.4454,0.362992
rwp,50,5,0,83.2587,171.829,1.4836,16.7413,0.0976172
rwp,50,5,10,100,207.851,0.00579975,0,0.00639959
rwp,50,5,20,87.636,181.122,0.501695,12.364,0.0731707
rwp,50,5,30,88.4935,184.012,0.597603,11.5065,0.111802
rwp,50,5,40,99.9744,207.855,0.0118949,0.0255984,0.0107541
rwp,50,10,0,92.0773,191.461,0.675245,7.92269,0.0140395
rwp,50,10,10,99.8464,207.595,0.0177947,0.15359,0.0438405
rwp,50,10,20,87.6104,179.212,0.42663,12.3896,0.188751
rwp,50,10,30,86.804,180.466,0.556197,13.196,0.39074
rwp,50,10,40,85.2425,175.94,0.744638,14.7575,0.248348
rwp,50,15,0,96.813,201.3,0.0331456,3.187,0.0331835
rwp,50,15,10,99.0273,208.24,0.0232169,0.972738,0.063332
rwp,50,15,20,91.4757,190.13,0.203429,8.52425,0.268085
rwp,50,15,30,100,207.851,0.00579991,0,0.00639959
rwp,50,15,40,98.6945,205.209,0.0573341,1.30552,0.0632862
rwp,50,20,0,99.8464,207.608,0.0127566,0.15359,0.0443533
rwp,50,20,10,92.5765,192.48,0.376901,7.42352,0.178349
rwp,50,20,20,80.4812,168.742,0.349026,19.5188,0.660146
rwp,50,20,30,97.5042,202.735,0.0683105,2.49584,0.0971384
rwp,50,20,40,82.3243,168.671,0.312206,17.6757,0.229633
rw,10,5,0,0.819148,432.249,9.48184,99.1809,2.84375
rw,10,5,10,0,0,0,100,0
rw,10,5,20,0,0,0,100,0
rw,10,5,30,46.3842,98.64,0.039357,53.6158,0.0113135
rw,10,5,40,0,0,0,100,0
rw,10,10,0,100,207.849,0.00579774,0,0.000511967
rw,10,10,10,9.12582,228.73,0.157445,90.8742,0.143058
rw,10,10,20,0,0,0,100,0
rw,10,10,30,0,0,0,100,0
rw,10,10,40,0,0,0,100,0
rw,10,15,0,3.1358,281.783,0.258713,96.8642,0.228571
rw,10,15,10,9.53539,227.442,0.0889815,90.4646,0.224161
rw,10,15,20,5.91322,18.2849,0.78516,94.0868,0.398268
rw,10,15,30,0,0,0,100,0
rw,10,15,40,13.0808,136.851,2.35668,86.9192,0.163405
rw,10,20,0,73.0193,151.764,0.048089,26.9807,0.02156
rw,10,20,10,15.2054,171.921,1.39008,84.7946,0.154882
rw,10,20,20,0,0,0,100,0
rw,10,20,30,99.9744,207.786,0.00628273,0.0255984,0.00115222
rw,10,20,40,0,0,0,100,0
rw,20,5,0,0,0,0,100,0
rw,20,5,10,61.0777,126.999,0.943898,38.9223,0.0760687
rw,20,5,20,0,0,0,100,0
rw,20,5,30,100,207.848,0.005799,0,0.000639959
rw,20,5,40,84.3594,175.373,0.165536,15.6406,0.0754059
rw,20,10,0,12.6584,26.0447,1.20732,87.3416,0.524772
rw,20,10,10,24.6512,185.478,0.107771,75.3488,0.0695742
rw,20,10,20,0,0,0,100,0
rw,20,10,30,100,207.851,0.00579965,0,0.00217586
rw,20,10,40,61.884,133.782,0.0766066,38.116,0.0297828
rw,20,15,0,12.94,110.072,2.18653,87.06,0.367953
rw,20,15,10,45.0403,93.6355,1.23051,54.9597,0.17505
rw,20,15,20,83.9626,174.513,0.175447,16.0374,0.0278963
rw,20,15,30,81.5692,169.533,0.056064,18.4308,0.0158481
rw,20,15,40,51.6575,113.099,1.95139,48.3425,0.136274
rw,20,20,0,3.1358,9.45705,3.38746,96.8642,2.21224
rw,20,20,10,96.6338,203.195,0.0432363,3.36618,0.00543046
rw,20,20,20,19.8899,41.1877,0.870885,80.1101,0.235521
rw,20,20,30,83.1435,172.813,0.0153159,16.8565,0.018319
rw,20,20,40,82.0555,209.691,0.0273687,17.9445,0.0127905
rw,30,5,0,100,207.847,0.00579983,0,0.00243184
rw,30,5,10,100,207.85,0.00579783,0,0.00140791
rw,30,5,20,97.325,202.338,0.14322,2.67503,0.040242
rw,30,5,30,48.4449,110.895,0.750167,51.5551,0.513078
rw,30,5,40,41.7765,207.76,0.00729745,58.2235,0.234681
