Nodes,BC_PDR,RL_PDR,BC_Throughput,RL_Throughput,BC_Delay,RL_Delay
20,95.44,96.84,10.8322,11.3851,0.848826,0.222603
40,98.03,95.51,22.5296,23.3726,0.393148,0.402316
60,87.74,88.26,30.1035,31.4368,0.716044,0.672812
80,74.85,78.58,33.1129,34.9806,0.844537,0.584294
100,65.49,70.93,33.6337,34.9305,0.484256,0.416153
120,60.53,67.86,36.0036,38.2190,1.242877,0.663553
140,56.45,61.37,37.3608,39.6884,1.138451,0.542054
160,53.23,53.87,38.5714,40.6649,1.252987,0.966895
180,49.57,53.69,38.0636,40.4921,0.825982,0.923957
200,48.46,52.32,39.7232,40.7416,1.519712,1.049302
